Model,Date,GFLOPS,Release Price (USD)
GeForce 2 GTS Pro,12/5/2000,1.6,329
GeForce 3,2/27/2001,1.6,499
GeForce 3 Ti500,10/1/2001,1.9,349
GeForce 3 Ti200,10/1/2001,1.4,149
GeForce FX 5200,3/6/2003,2,199
GeForce FX 5200 Ultra,3/6/2003,2.6,199
GeForce FX 5600 Ultra,3/6/2003,2.8,199
GeForce FX 5800,3/6/2003,3.2,299
GeForce FX 5800 Ultra,3/6/2003,4,399
GeForce FX 5900 / 5900 XT / 5900 ZT,5/12/2003,3.2,399
GeForce FX 5700 Ultra,10/23/2003,3.8,199
GeForce FX 5950 Ultra,10/23/2003,3.8,499
GeForce FX 5900 Ultra,10/23/2003,3.6,499
GeForce 6200 TurboCache 64-TC/256MB,12/15/2004,2.8,129
GeForce 7900 GX2,4/30/2006,48,599
GeForce 7900 GS/ GS AGP,5/1/2006,18,259
GeForce 7950 GX2,6/5/2006,48,599
GeForce 8800 GTX,11/8/2006,147.2,599
GeForce 8800 GTS 640,11/8/2006,98.5,449
GeForce 8800 GTS 320,2/12/2007,98.5,269
GeForce 8600 GT,4/17/2007,34.6,159
GeForce 8500 GT,4/17/2007,14.7,129
GeForce 8600 GTS,4/17/2007,43.2,199
GeForce 8800 Ultra,5/2/2007,156.7,829
Radeon HD 2900 XT,5/14/2007,475.5,399
Radeon HD 2600 PRO,6/28/2007,144,89
Radeon HD 2400 PRO,6/28/2007,42,50
Radeon HD 2400 XT,6/28/2007,52,75
Radeon HD 2600 XT,6/28/2007,192,119
Radeon HD 2900 PRO,9/25/2007,384,250
GeForce 8800 GT,10/29/2007,134.4,349
Radeon HD 2900 GT,11/6/2007,288.5,200
Radeon HD 3870,11/19/2007,497.3,219
Radeon HD 3850,11/19/2007,427.5,179
GeForce 8800 GTS 512,12/11/2007,166.4,349
Radeon HD 3870 X2,1/28/2008,1056,449
GeForce 9600 GT,2/21/2008,83.2,199
GeForce 9800 GTX,3/28/2008,172.8,299
Radeon HD 3830,4/1/2008,427.5,129
Radeon HD 3850 X2,4/4/2008,855,349
GeForce 9800 GX2,5/18/2008,307.2,599
GeForce GTX 260,6/16/2008,221.2,449
GeForce GTX 280,6/16/2008,289,649
Radeon HD 4870,6/25/2008,1200,299
Radeon HD 4850,6/25/2008,1000,199
GeForce 9800 GT (55 nm),7/21/2008,123.2,159
GeForce 9800 GT (65 nm),7/21/2008,134.4,159
GeForce GTX 260 (55 nm),7/23/2008,221.2,449
Radeon HD 4870 X2,8/12/2008,2400,449
Radeon HD 4670,9/10/2008,480,79
GeForce GTX 260 (216 Cores),9/16/2008,248.8,299
Radeon HD 4830,10/21/2008,736,130
Radeon HD 4850 X2,11/7/2008,2000,339
"GeForce GTX 260 (216 Cores, 55 nm)",11/27/2008,248.8,299
GeForce GTX 285,12/23/2008,311,359
GeForce GTX 295,1/8/2009,553,499
GeForce GTX 275,1/15/2009,303.8,249
GeForce 9800 GTX+,1/16/2009,188.9,229
GeForce GTS 250,3/4/2009,179.7,199
Radeon HD 4890,4/2/2009,1360,249
Radeon HD 4770,4/28/2009,960,109
Radeon HD 5870,9/23/2009,2720,379
Radeon HD 5850,9/30/2009,2088,259
Radeon HD 5770,10/13/2009,1360,159
Radeon HD 5750,10/13/2009,1008,129
GeForce GT 240,11/17/2009,105.6,79
Radeon HD 5970,11/18/2009,4640,599
Radeon HD 5670,1/14/2010,620,99
Radeon HD 5450,2/4/2010,104,50
Radeon HD 5570,2/9/2010,520,80
Radeon HD 5550,2/9/2010,352,70
Radeon HD 5830,2/25/2010,1792,239
Radeon HD 5870Eyefinity Edition,3/11/2010,2720,479
GeForce GTX 480,3/26/2010,1344.96,499
GeForce GTX 470,3/26/2010,1088.64,349
GeForce GTX 480,3/26/2010,1344.96,499
GeForce GTX 470,3/26/2010,1088.64,349
GeForce GTX 465,3/31/2010,855.36,279
GeForce GTX 465,5/31/2010,855.36,279
GeForce GTX 460,7/12/2010,907.2,229
GeForce GTX 460,7/12/2010,907.2,199
GeForce GTS 450,9/13/2010,601.34,129
GeForce GT 430,10/11/2010,268.8,79
GeForce GT 430,10/11/2010,268.8,79
GeForce GT 430,10/11/2010,268.8,79
Radeon HD 6870,10/22/2010,2016,239
Radeon HD 6850,10/22/2010,1488,179
GeForce GTX 580,11/9/2010,1581.1,499
GeForce GTX 580,11/9/2010,1581.1,499
GeForce GTX 460 SE,11/15/2010,748.8,160
GeForce GTX 460 SE,11/15/2010,748.8,160
GeForce GTX 570,12/7/2010,1405.4,349
GeForce GTX 570,12/7/2010,1405.4,349
Radeon HD 6970,12/15/2010,2703,369
Radeon HD 6950,12/15/2010,2253,259
GeForce GTX 560 Ti,1/25/2011,1263.4,249
GeForce GTX 560 Ti GF 114,1/25/2011,1263.4,249
GeForce GT 440,2/1/2011,311.04,100
GeForce GT 440,2/1/2011,311.04,100
Radeon HD 6990,3/8/2011,5099,699
GeForce GT 520,3/12/2011,155.5,59
GeForce GTX 550 Ti,3/15/2011,691.2,149
GeForce GTX 550,3/15/2011,691.2,149
GeForce GTX 590,3/24/2011,2488.3,699
GeForce GTX 590,3/24/2011,2488.3,699
Radeon HD 6790,4/4/2011,1344,149
Radeon HD 6350,4/7/2011,104,23
Radeon HD 6450,4/7/2011,200,55
GeForce GT 520,4/12/2011,155.5,59
Radeon HD 6570,4/19/2011,624,79
Radeon HD 6670,4/19/2011,768,99
GeForce GT 545,5/14/2011,415.07,149
GeForce GT 545,5/14/2011,415.07,149
GeForce GTX 560,5/17/2011,1088.6,199
GeForce GTX 560,5/17/2011,1088.6,199
GeForce GTX 460 GF-114,9/24/2011,1045.6,199
GeForce GTX 460,9/24/2011,1045.6,199
GeForce GTX 560 Ti GF110-270-A1,11/29/2011,1311.7,289
GeForce GTX 560 Ti,11/29/2011,1311.7,289
Radeon HD 6930,12/1/2011,1920,180
Radeon HD 7950,1/1/2012,2867.2,450
Radeon HD 7970,1/1/2012,3788.8,550
Radeon HD 7750,2/1/2012,819.2,110
Radeon HD 7770GHz Edition,2/1/2012,1280,160
Radeon HD 7870GHz Edition,3/1/2012,2560,350
Radeon HD 7850,3/1/2012,1761.28,250
GeForce GTX 690,3/3/2012,5600,999
GeForce GTX 680,3/22/2012,3090.43,500
GeForce GTX 680,3/22/2012,3100,499
GeForce GTX 670,5/10/2012,2459.52,400
Radeon HD 7970GHz Edition,6/1/2012,4096,500
GeForce GT 6408,6/5/2012,691.2,100
Radeon HD 7950 Boost,8/1/2012,3046.4,330
GeForce GTX 660 Ti,8/16/2012,2459.52,300
GeForce GTX 660 Ti,8/16/2012,2500,299
GeForce GTX 650,9/13/2012,812.54,110
GeForce GTX 660,9/13/2012,1881.6,230
GeForce GTX 650,9/13/2012,812.5,109
GeForce GTX 660,9/13/2012,1900,229
GeForce GTX 650 Ti,10/9/2012,1400,149
GeForce GTX 650 Ti,10/9/2012,1425.41,150
Radeon HD 7870 XT,11/1/2012,2841.6,270
GeForce GTX Titan,2/19/2013,4500,999
GeForce GTX TITAN,2/21/2013,4499.7,999
Radeon HD 7790,3/1/2013,1792,150
GeForce GTX 650 Ti Boost,3/26/2013,1500,169
GeForce GTX 650 Ti Boost,3/26/2013,1505.28,170
Radeon HD 7730,4/1/2013,614.4,60
Radeon HD 7990,4/1/2013,8200,1000
