,MFLOPS/$,Number of consumer units (in thousands),Income before taxes 1/,Income after taxes 1/,Age of reference person,Persons,Children under 18,Persons 65 and over,Earners,Vehicles,Male,Female,Percent homeowner,With mortgage,Without mortgage,Renter,Black or African-American,"White, Asian, and all other races",Average annual expenditures,Audio and visual equipment and services 2/,"Other entertainment supplies, equipment, and services",MFLOPsPPP,Resnbl_Exptr,Year,GFLOPsPPP,,GFLOPs Est,
2000,4.863221884,109367,44649,41532,48.2,2.5,0.7,0.3,1.4,1.9,53,47,66,39,27,34,12,88,38045,622,393,4936.170213,1015,2000,4.936170213,0,0,0
2001,6.015504018,110339,47507,44587,48.1,2.5,0.7,0.3,1.4,1.9,51,49,66,40,26,34,12,88,39518,660,430,6556.89938,1090,2001,6.55689938,1,-2124.9,-2986.94
2002,6.015504018,112108,49430,46934,48.1,2.5,0.7,0.3,1.4,2,51,49,66,41,26,34,12,88,40677,692,476,7026.108693,1168,2002,7.026108693,2,-3527.4,-5075.16
2003,11.09539114,115356,51128,48596,48.4,2.5,0.6,0.3,1.3,1.9,50,50,67,41,26,33,12,88,40817,730,457,13170.22928,1187,2003,13.17022928,3,-4207.5,-6264.66
2004,21.70542636,116282,54453,52287,48.5,2.5,0.6,0.3,1.3,1.9,48,52,68,42,25,32,12,88,43395,788,522,28434.10853,1310,2004,28.43410853,4,-4165.2,-6555.44
2005,21.70542636,117356,58712,56304,48.6,2.5,0.6,0.3,1.3,2,47,53,67,43,25,33,12,88,46409,888,492,29953.48837,1380,2005,29.95348837,5,-3400.5,-5947.5
2006,138.9768956,118843,60533,58101,48.7,2.5,0.6,0.3,1.3,1.9,46,54,67,43,24,33,12,88,48400,908,451,188869.6012,1359,2006,188.8696012,6,-1913.4,-4440.84
2007,972.4852496,120171,63091,60858,48.8,2.5,0.6,0.3,1.3,1.9,47,53,67,43,23,33,12,88,49638,987,493,1439278.169,1480,2007,1439.278169,7,296.1,-2035.46
2008,2361.335958,120770,63563,61774,49.1,2.5,0.6,0.3,1.3,2,47,53,66,42,24,34,12,88,50486,1036,479,3577423.976,1515,2008,3577.423976,8,3228,1268.64
2009,4917.859314,120847,62857,60753,49.4,2.5,0.6,0.3,1.3,2,47,53,66,41,25,34,12,88,49067,975,400,6762056.557,1375,2009,6762.056557,9,6882.3,5471.46
2010,4668.605555,121107,62481,60712,49.4,2.5,0.6,0.3,1.3,1.9,47,53,66,41,25,34,12,88,48109,954,364,6153222.122,1318,2010,6153.222122,10,11259,10573
2011,4997.252559,122287,63685,61673,49.7,2.5,0.6,0.3,1.3,1.9,47,53,65,40,25,35,12,88,49705,977,370,6731299.197,1347,2011,6731.299197,11,16358.1,16573.26
2012,7675.072288,124416,65596,63370,50,2.5,0.6,0.3,1.3,1.9,47,53,64,39,26,36,13,87,51442,979,363,10299947.01,1342,2012,10299.94701,12,22179.6,23472.24
2013,9294.334315,125670,63784,56352,50.1,2.5,0.6,0.3,1.3,1.9,47,53,64,37,26,36,13,87,51100,2482,964,32028276.05,3446,2013,32028.27605,13,28723.5,31269.94
2014,8295.962388,127006,66877,58364,50.3,2.5,0.6,0.4,1.3,1.9,48,52,63,37,26,37,13,87,53495,2728,1051,31350441.86,3779,2014,31350.44186,14,35989.8,39966.36
2015,12994.02988,128437,69627,60448,50.5,2.5,0.6,0.4,1.3,1.9,47,53,62,35,27,38,13,87,55978,2842,1084,51014561.32,3926,2015,51014.56132,15,43978.5,49561.5
2016,15890.49849,129549,74664,64175,50.9,2.5,0.6,0.4,1.3,1.9,47,53,62,36,27,38,13,87,57311,2913,1085,63530212.98,3998,2016,63530.21298,16,52689.6,60055.36
2017,19498.96946,130001,73573,63606,50.9,2.5,0.6,0.4,1.3,1.9,47,53,63,36,27,37,13,87,60060,3203,985,81661684.09,4188,2017,81661.68409,17,62123.1,71447.94
2018,12183.23187,131439,78635,67241,51.1,2.5,0.6,0.4,1.3,1.9,47,53,63,37,26,37,13,87,61224,3226,1030,51851834.85,4256,2018,51851.83485,18,72279,83739.24
,,,,,,,,,,,,,,,,,,,,,,,,,,19,83157.3,96929.26
,,,,,,,,,,,,,,,,,,,,,,,,,,20,94758,111018
,,,,,,,,,,,,,,,,,,,,,,,,,,21,107081.1,126005.46
,,,,,,,,,,,,,,,,,,,,,,,,,,22,120126.6,141891.64
,,,,,,,,,,,,,,,,,,,,,,,,,,23,133894.5,158676.54
,,,,,,,,,,,,,,,,,,,,,,,,,,24,148384.8,176360.16
,,,,,,,,,,,,,,,,,,,,,,,,,,25,163597.5,194942.5
